STATE/UT,CRIME HEAD,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
ANDHRA PRADESH,Immoral traffic act,1860,1598,881,1066,1691,1830,1700,1179,1016,1332,1267,1354
ARUNACHAL PRADESH,Immoral traffic act,0,0,0,0,0,0,0,0,0,0,0,1
ASSAM,Immoral traffic act,6,63,82,82,69,124,52,62,61,49,55,51
BIHAR,Immoral traffic act,168,27,34,50,43,30,55,80,56,52,34,116
CHHATTISGARH,Immoral traffic act,36,30,19,40,19,72,73,9,43,51,60,22
GOA,Immoral traffic act,101,69,65,71,110,62,27,42,67,44,42,100
GUJARAT,Immoral traffic act,390,426,698,156,265,377,229,212,200,157,206,124
HARYANA,Immoral traffic act,93,181,250,275,319,359,353,361,391,226,251,303
HIMACHAL PRADESH,Immoral traffic act,5,2,25,15,26,0,0,12,26,11,3,18
JAMMU & KASHMIR,Immoral traffic act,16,20,5,29,13,14,9,10,19,0,8,13
JHARKHAND,Immoral traffic act,2,7,5,5,37,34,59,16,2,23,22,20
KARNATAKA,Immoral traffic act,2325,2441,2723,2571,3178,2545,1908,1666,1338,934,1387,1240
KERALA,Immoral traffic act,410,476,455,426,503,459,518,422,649,576,308,324
MADHYA PRADESH,Immoral traffic act,105,79,94,133,79,69,105,39,75,91,193,59
MAHARASHTRA,Immoral traffic act,976,1438,962,1149,1046,1645,1266,1405,1437,1007,1392,1621
MANIPUR,Immoral traffic act,11,29,0,0,2,0,0,0,0,0,0,0
MEGHALAYA,Immoral traffic act,0,0,1,0,0,2,1,14,0,12,15,20
MIZORAM,Immoral traffic act,11,9,1,4,0,0,0,1,1,0,5,0
NAGALAND,Immoral traffic act,1,24,1,12,5,19,20,10,24,15,6,26
ODISHA,Immoral traffic act,95,109,79,63,107,131,131,107,57,97,69,82
PUNJAB,Immoral traffic act,120,209,229,140,185,269,145,168,234,288,214,402
RAJASTHAN,Immoral traffic act,218,281,256,272,408,387,320,253,215,299,339,349
SIKKIM,Immoral traffic act,0,0,7,3,0,2,11,0,2,5,7,0
TAMIL NADU,Immoral traffic act,5331,3911,3303,3793,3649,2241,1964,1279,1269,921,878,927
TRIPURA,Immoral traffic act,0,0,0,0,0,0,0,0,0,1,8,0
UTTAR PRADESH,Immoral traffic act,125,236,304,259,200,491,304,383,201,119,256,187
UTTARAKHAND,Immoral traffic act,0,0,0,17,10,23,60,20,29,27,14,61
WEST BENGAL,Immoral traffic act,157,88,328,258,151,168,253,232,238,227,336,455
TOTAL (STATES),Immoral traffic act,12562,11753,10807,10889,12115,11353,9563,7982,7650,6564,7375,7875
A & N ISLANDS,Immoral traffic act,0,0,0,0,0,0,2,0,2,15,14,16
CHANDIGARH,Immoral traffic act,9,9,14,48,27,7,21,35,14,13,5,0
D & N HAVELI,Immoral traffic act,0,0,8,0,0,0,6,22,0,8,0,12
DAMAN & DIU,Immoral traffic act,27,10,0,5,4,5,28,30,27,42,47,24
DELHI,Immoral traffic act,136,201,205,477,501,376,217,162,77,96,123,104
LAKSHADWEEP,Immoral traffic act,0,0,0,0,0,0,0,0,0,0,0,0
